symbol,date,dcf,Stock Price,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
AAPL,2024-01-06,143.6721392802371,181.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-01-05,,,S,5.0,Strong Buy,5.0,Strong Buy,5.0,Strong Buy,3.0,Neutral,5.0,Strong Buy,5.0,Strong Buy,5.0,Strong Buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2023-09-30,,,,,,,,,,,,,,,,,,2023,FY,24.344472588086393,6.160669263554378,7.021174930677783,6.325110448392176,3.9096860303942442,3.947223589389663,3.947223589389663,3.947223589389663,7.305596570578772,2695569789510.0,2776692789510.0,27.790811789370586,7.032807935374461,24.384807626986785,27.06830203155125,43.37479145093811,43.37479145093811,7.244459839310174,22.068771177157846,25.118666849189907,27.882920845818607,0.03598311584343425,0.03694358068098929,1.7875325845589418,0.3150690759338936,0.6447544110634239,0.9880116717592975,29.062039155860667,1.1396773029537606,0.005573960673721321,0.1549048920047425,0.0,0.07804897139204509,0.0,-0.0991378920420108,-0.02859230076835775,-0.9513846688080563,0.028263563666723196,23.391122856319186,0.5626888293615087,0.27509834563776475,-11.431345868845547,-1742000000.0,62146000000.0,-146871000000.0,1.7875325845589418,60958500000.0,63363000000.0,5638500000.0,58.07564866874519,106.72146803214763,10.791292490321615,6.284906124456834,3.420117870661705,33.82356657716001,1.5607601454639075,-0.6960644822856067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2022-09-24,,,,,,,,,,,,,,,,,,2022,FY,24.31727304755197,6.154614437637777,7.532762624088375,6.872425646259799,2.9787931805221803,3.124822127430853,3.124822127430853,3.124822127430853,7.585118441624466,2439367314090.0,2535790314090.0,24.441823533260525,6.186137718067193,19.970096962693717,21.888923611981014,48.14034011071204,48.14034011071204,6.430662580618166,19.42524045388039,20.75947240783948,22.754146192134094,0.040913477615088595,0.04568520671581333,2.3695334701610355,0.3403750478377344,0.738641499605488,0.8793560286267226,40.74957352439441,1.2239211246154926,0.006083954603424043,0.14870294480125848,0.0,0.06657148363798665,0.0,-0.08766199212450164,-0.02715505873283155,-0.9643371757925072,0.022920005680550203,20.801963754945305,0.5861678044404918,0.2829244092925685,-12.67929632054538,-18577000000.0,50672000000.0,-166678000000.0,2.3695334701610355,56219000000.0,59439000000.0,5763000000.0,56.400204905560855,104.6852773031054,8.07569806661716,6.471607693822622,3.486641191608828,45.19733117670845,1.9695887275023682,-0.6603369778285755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2021-09-25,,,,,,,,,,,,,,,,,,2021,FY,21.90354123925411,5.669029281123018,6.229345884552985,5.56562398361035,3.750552652516527,3.7775565837141025,3.7775565837141025,3.7775565837141025,7.6260059712817085,2453750882240.0,2543529882240.0,25.916253509083226,6.707591178758778,23.585140835463964,26.39775889148279,38.89286546584245,38.89286546584245,6.953011703228664,21.155006381276355,24.448085144274206,27.363612602498037,0.038585824129614886,0.03788200370004322,1.9768426058012363,0.35532276169366556,0.7467084743789143,1.0745531195957954,41.19054820415879,1.0988381918039714,0.0058958715429144335,0.15279890156316012,0.0,0.059904269074427925,0.0,-0.1065476076049136,-0.030302036264033657,-0.9823644097837646,0.021611898845597662,21.950837680915992,0.5029381969606235,0.26974205275183616,-10.97841529675105,9355000000.0,63090000000.0,-153076000000.0,1.9768426058012363,44475500000.0,48529500000.0,5320500000.0,51.390968708397914,93.85107122231561,11.27659274770989,7.102415252591931,3.889140478060004,32.367933130699086,1.5007132667617689,-0.6637219009426348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2020-09-26,,,,,,,,,,,,,,,,,,2020,FY,15.820258033039078,3.3085872682177895,4.649230448454163,4.2280138811865,5.241031369137106,3.765476712094932,3.765476712094932,3.765476712094932,6.645240272960322,1948295921320.0,2022715921320.0,33.93593425162425,7.0972293729668685,24.150233300939583,26.556204202548898,29.818269660080503,29.818269660080503,7.368325670072673,26.152202127120397,25.07271142276322,27.5705843565733,0.02946728952812424,0.03765598397921713,1.720809929750991,0.34714469199229364,0.9621948696731485,1.3636044481554577,23.07274625826662,1.405201093867029,0.007227341517226967,0.24526658654264863,0.0,0.06830956414039306,0.0,-0.09059920172546297,-0.026625138881299748,-0.661089001447178,0.024876600550061016,16.74258602902124,0.31907668773896114,0.1772557180259843,-7.9236288086774875,38321000000.0,65339000000.0,-114836000000.0,1.720809929750991,41624500000.0,44266000000.0,4083500000.0,49.78753437881355,91.04818971567418,8.741883356235881,7.331152356789959,4.008866086627577,41.75301649839941,0.8786635853012749,-0.4212165672676634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2019-09-28,,,,,,,,,,,,,,,,,,2019,FY,14.085283273500087,2.9914457730615696,3.7566854936751732,3.1885078588792926,5.443948396585932,4.898833522383005,4.898833522383005,4.898833522383005,6.043038792646076,1010566792560.0,1069769792560.0,18.28881555957724,3.8841959325682045,14.563369782248419,17.15849620619397,11.167964730793033,11.167964730793033,4.111747494215409,13.988124436889523,15.416549589428024,18.163708784297746,0.05467822652278504,0.05828016557995417,1.1940478295464592,0.3191784140188352,0.774128169253501,1.540125617208044,17.87751677852349,1.2558093238743304,0.013971367458288728,0.25551976255972203,0.0,0.06233136285716482,0.0,-0.15124439768846104,-0.04033838892433525,-0.8364549294652108,0.0233228531674956,18.158424594467483,0.2706681700005164,0.16323009842961633,-6.012829824545447,57101000000.0,90488000000.0,-85209000000.0,1.1940478295464592,47399500000.0,51062000000.0,4031000000.0,64.25876528784583,104.31407696777144,9.263638723714628,5.68015893808401,3.4990483605848257,39.40136385776912,0.6106445053487756,-0.5681776347958805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2023-09-30,,,,,,,,,,,,,,,,,,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028004605303199367,-0.00956775304188966,-0.04300174987650393,-0.04300174987650393,-0.028135426790777834,0.001626016260162567,0.0032733224222585224,-0.029090594249629207,-0.031439280320331865,0.042731773310903005,-0.0950299219818094,-0.10641314393905404,2.6905240454238135,0.816842026998005,0.5388164047163655,2.389734710129544,0.7972760681074091,0.5101800197949481,3.3097019469393576,1.051263292954884,0.8620241100283557,-0.1722339004490628,-0.26978894458196756,0.048266631608940624,1.3405599978590987,0.3795229029287352,0.17601279383408341,0.0008698220967636053,0.28002426202992314,-0.00048759053734178114,0.26318344802395743,-0.07479865743863945,0.13957563521389663,-0.006455726468478521
AAPL,2022-09-24,,,,,,,,,,,,,,,,,,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07793787604184606,0.11741997958596143,0.09626522501353844,0.09626522501353844,0.05410857625686523,0.08465608465608473,0.08912655971479501,-0.029058205865996313,-0.03196576277656596,0.05655348764792707,0.17409984813241317,0.1989177326175594,3.0668993761434575,1.213791990178702,0.7264312385752475,2.8770123198895177,1.4717912851614252,1.0051619005026309,2.860169220093998,1.6564176904593655,1.0574046479668893,-0.30807952624500173,-0.5135153119200997,-0.3621293491290547,8.62842256095334,0.4957689252907237,0.19733255359833798,0.18300780491593213,-0.24832826747720366,0.004994273536902924,-0.17279276744584973,-0.03728381401390325,0.19791001186456147,0.14203795567287125
AAPL,2021-09-25,,,,,,,,,,,,,,,,,,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33259384733074693,0.4561911658218682,0.6435704803282646,0.6435704803282646,0.649161310550243,0.7129909365558912,0.7103658536585368,-0.037508214414619906,-0.037841562180835994,0.06745100704288925,0.28961003545132263,0.2669937981326245,4.236507035851552,1.2227951619611697,0.6346739129208202,3.2956283812471647,1.0709546701586146,0.5945841527679581,4.659674354939495,1.715366626983906,0.8875662973579169,0.27599338253099276,-0.35543100969786007,-0.30117625276916987,0.0,0.5601453883593405,0.25217439783887663,0.37551074909867804,0.6202905688254124,0.08371412340068171,0.0032080590434590424,0.10924437013056316,0.16862201365187712,0.10328379192608958
AAPL,2020-09-26,,,,,,,,,,,,,,,,,,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055120803769784836,0.06671274087324172,0.03688409197559831,0.03688409197559831,0.039000289561314606,0.1070234113712374,0.10437710437710424,-0.06059209794028975,-0.057402558404513054,0.06163530142054705,0.16260033721952413,0.24567033414832926,5.176487778422401,0.5578051009598138,0.4402421047629735,5.366884949754451,0.3166135946632342,0.5255926515521804,5.012479154723281,0.4260550226090468,0.4280325500122949,1.006392794660918,-0.2739517308741843,-0.4137756681652379,0.0,0.6153689300994043,0.32624899330116186,-0.18249497860448868,-0.010959571358986848,-0.04321213768330005,-0.23135238319687973,0.04062121113959666,0.15631744465684158,0.09158673609208003
AAPL,2019-09-28,,,,,,,,,,,,,,,,,,2019,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.020410775805267418,-0.03384754367187423,-0.09828203898558492,-0.09828203898558492,-0.07181132519191681,-0.0033333333333332624,-0.0033557046979865056,-0.06811651262860526,-0.07023766881881975,0.10494717879684691,-0.10386910142831314,-0.08148656446406013,8.63939932609417,0.875696939222199,0.4293898494860344,8.246367465198858,0.5314306802951325,0.24891529730845963,12.113508113137765,0.8430431420968708,0.43285060206892073,3.401143578294146,0.06904548276423,-0.16410618684205286,0.0,0.6723530656722325,0.3767077879533392,-0.06512909480559241,0.037917087967644085,-0.07439742976279992,-0.09374720846516547,-0.05621795375732642,0.1391542568137117,0.092187967674349
MSFT,2024-01-05,,,A+,5.0,Strong Buy,5.0,Strong Buy,3.0,Neutral,3.0,Neutral,4.0,Buy,5.0,Strong Buy,5.0,Strong Buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG,2023-10-26,,,A+,4.0,Buy,5.0,Strong Buy,3.0,Neutral,3.0,Neutral,3.0,Neutral,5.0,Strong Buy,5.0,Strong Buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,2024-01-05,,,S-,5.0,Strong Buy,5.0,Strong Buy,3.0,Neutral,3.0,Neutral,5.0,Strong Buy,5.0,Strong Buy,5.0,Strong Buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
